year,round,series,tmIDWinner,tmIDLoser,W,L
1,FR,A,3,12,2,1
1,FR,B,11,19,2,0
1,FR,C,8,13,2,0
1,FR,D,6,15,2,0
1,CF,E,6,8,2,0
1,CF,F,11,3,2,1
1,F,G,6,11,2,0
2,FR,A,1,3,2,1
2,FR,B,11,9,2,1
2,FR,C,8,6,2,0
2,FR,D,15,18,2,0
2,CF,E,1,11,2,1
2,CF,F,8,15,2,1
2,F,G,8,1,2,0
3,FR,A,11,7,2,1
3,FR,B,19,1,2,0
3,FR,C,8,17,2,0
3,FR,D,18,6,2,1
3,CF,E,11,19,2,1
3,CF,F,8,18,2,0
3,F,G,8,11,2,0
4,FR,A,5,3,2,1
4,FR,B,4,1,2,0
4,FR,C,8,10,2,1
4,FR,D,15,6,2,1
4,CF,E,5,4,2,0
4,CF,F,8,15,2,1
4,F,G,5,8,2,1
5,FR,A,4,19,2,1
5,FR,B,11,5,2,1
5,FR,C,17,10,2,0
5,FR,D,15,8,2,1
5,CF,E,4,11,2,0
5,CF,F,17,15,2,1
5,F,G,17,4,2,1
6,FR,A,4,5,2,0
6,FR,B,7,11,2,0
6,FR,C,6,17,2,1
6,FR,D,15,8,2,0
6,CF,E,4,7,2,0
6,CF,F,15,6,2,0
6,F,G,15,4,3,1
7,FR,A,5,7,2,0
7,FR,B,4,19,2,0
7,FR,C,8,17,2,1
7,FR,D,15,6,2,0
7,CF,E,5,4,2,1
7,CF,F,15,8,2,0
7,F,G,5,15,3,2
8,FR,A,5,11,2,1
8,FR,B,7,4,2,1
8,FR,C,13,17,2,0
8,FR,D,16,15,2,1
8,CF,E,5,7,2,1
8,CF,F,13,16,2,0
8,F,G,13,5,3,2
9,FR,A,16,15,2,1
9,FR,B,8,17,2,1
9,FR,C,5,7,2,1
9,FR,D,11,4,2,1
9,CF,E,16,8,2,1
9,CF,F,5,11,2,1
9,F,G,5,16,3,0
